Taxon_name,Genus,Species,tooth_type
Acrodus anningiae,Acrodus,anningiae,4
Acrodus gaillardoti,Acrodus,gaillardoti,4
Acrodus lateralis,Acrodus,lateralis,4
Acrodus nobilis,Acrodus,nobilis,4
Acrodus olsoni,Acrodus,olsoni,4
Acrodus sp.,Acrodus,,4
Acrodus sweetlacruzensis,Acrodus,sweetlacruzensis,4
Acronemus tuberculatus,Acronemus,tuberculatus,4
Adamantina foliacea,Adamantina,foliacea,4
Agaleus dorsetensis,Agaleus,dorsetensis,1
Agassizodus sp.,Agassizodus,,4
Agassizodus variabilis,Agassizodus,variabilis,4
Ancistriodus serratus,Ancistriodus,serratus,5
Annea carinata,Annea,carinata,1
Annea maubeugei,Annea,maubeugei,1
Arctacanthus sp.,Arctacanthus,,3
Asteracanthus reticulatus,Asteracanthus,reticulatus,4
Belemnobatis moorbergensis,Belemnobatis,moorbergensis,4
Belemnobatis noviodunumensis,Belemnobatis,noviodunumensis,4
Bobbodus shaefferi,Bobbodus,shaefferi,4
Bransonella tridentata,Bransonella,tridentata,1
Caseodus eatoni,Caseodus,eatoni,4
Caseodus eatoni,Caseodus,eatoni,4
Caseodus varidentis,Caseodus,varidentis,4
Cetorhinus sp.,Cetorhinus,,1
Cladodus occidentalis,Cladodus,occidentalis,3
Cobelodus obliquus,Cobelodus,obliquus,1
Cooleyella fordi,Cooleyella,fordi,4
Cristabatis crescentiformis,Cristabatis,crescentiformis,4
Cristabatis exundans,Cristabatis,exundans,4
Ctenacanthus sp.,Ctenacanthus,,4
Dabascanthus inskasi,Dabascanthus,inskasi,4
Deltodus sp.,Deltodus,,2
Denaea decora,Denaea,decora,1
Desmiodus sp.,Desmiodus,,4
Doliobatis weisi,Doliobatis,weisi,4
Doratodus tricuspidatus,Doratodus,tricuspidatus,5
Edestus heinrichii,Edestus,heinrichii,2
Edestus karpinskii,Edestus,karpinskii,2
Edestus minor,Edestus,minor,2
Edestus mirius,Edestus,mirius,2
Edestus newtoni,Edestus,newtoni,2
Edestus sp.,Edestus,,2
Edestus triserratus,Edestus,triserratus,2
Edestus vorax,Edestus,vorax,2
Erikodus groenlandensis,Erikodus,groenlandensis,4
Eugeneodus richardsoni,Eugeneodus,richardsoni,4
Fadenia crenulata,Fadenia,crenulata,4
Gansuselache tungesni,Gansuselache,tungesni,4
Gilliodus orvellei,Gilliodus,orvellei,4
Gilliodus peyeri,Gilliodus,peyeri,4
Glikmanius culmensis,Glikmanius,culmensis,1
Glikmanius culmensis,Glikmanius,culmensis,1
Glikmanius myachkovensis,Glikmanius,myachkovensis,3
Glikmanius myachkovensis,Glikmanius,myachkovensis,3
Glikmanius myachkovensis,Glikmanius,myachkovensis,3
Glikmanius myachkovensis,Glikmanius,myachkovensis,3
Glikmanius occidentalis,Glikmanius,occidentalis,3
Glikmanius occidentalis,Glikmanius,occidentalis,3
Gondwanodus irwinensis,Gondwanodus,irwinensis,4
Grozonodon candaui,Grozonodon,candaui,5
Gunnellodus bellistriatus,Gunnellodus,bellistriatus,5
Gyrolepis albertii,Gyrolepis,albertii,5
Hamatus phosphoriensis,Hamatus,phosphoriensis,5
Hamiltonichthys mapesi,Hamiltonichthys,mapesi,4
Helicampodus kokeni,Helicampodus,kokeni,2
Helicoprion davisii,Helicoprion,davisii,2
Helodus sp.,Helodus,,4
Heslerodus divergens,Heslerodus,divergens,1
Hueneichthys costatus,Hueneichthys,costatus,5
Hybodus cloacinus,Hybodus,cloacinus,2
Hybodus delabechei,Hybodus,delabechei,3
Hybodus medius,Hybodus,medius,3
Hybodus minor,Hybodus,minor,3
Hybodus minor,Hybodus,minor,3
Hybodus plicatilis,Hybodus,plicatilis,3
Hybodus raricostatus,Hybodus,raricostatus,3
Hybodus reticulatus,Hybodus,reticulatus,3
Iniopera richardsoni,Iniopera,richardsoni,2
Iniopteryx rushlaui,Iniopteryx,rushlaui,5
Isacrodus marthae,Isacrodus,marthae,1
Itapyrodus punctatus,Itapyrodus,punctatus,4
Janassa korni,Janassa,korni,2
Janassa sp.,Janassa,,4
Janassa unguicula,Janassa,unguicula,2
Jurobatos cappettai,Jurobatos,cappettai,4
Kaibabvenator swiftae,Kaibabvenator,swiftae,3
Khuffia lenis,Khuffia,lenis,2
Khuffia prolixa,Khuffia,prolixa,2
Lagarodus angustus,Lagarodus,angustus,4
Lagarodus sp.,Lagarodus,,4
Lissodus lepagei,Lissodus,lepagei,4
Lissodus minimus,Lissodus,minimus,4
Lissodus sp.,Lissodus,,4
Megactenopetalus kaibabanus,Megactenopetalus,kaibabanus,4
Megactenopetalus sp.,Megactenopetalus,,4
Nanoskalme natans,Nanoskalme,natans,3
Neosaivodus flagstaffensis,Neosaivodus,flagstaffensis,3
Omanoselache angiolini,Omanoselache,angiolini,4
Omanoselache hendersoni,Omanoselache,hendersoni,4
Omanoselache sp.,Omanoselache,,4
Ornithoprion hertwigi,Ornithoprion,hertwigi,4
Orodus ipeunaensis,Orodus,ipeunaensis,4
Orodus sp.,Orodus,,4
Palaeobates angustissimus,Palaeobates,angustissimus,4
Palaeobates polaris,Palaeobates,polaris,4
Palaeobates reticulatus,Palaeobates,reticulatus,4
Palidiplospinax enniskilleni,Palidiplospinax,enniskilleni,3
Palidiplospinax occultidens,Palidiplospinax,occultidens,2
Parahelicampodus sparcki,Parahelicampodus,sparcki,2
Parahelicoprion mariosuarezi,Parahelicoprion,mariosuarezi,2
Paraorthacodus jurensis,Paraorthacodus,jurensis,2
Paraorthacodus kruckowi,Paraorthacodus,kruckowi,3
Paredestus bricircum,Paredestus,bricircum,2
Parvodus,Parvodus,,4
Petalodus acuminatus,Petalodus,acuminatus,4
Petalodus allegheniensis,Petalodus,allegheniensis,4
Petalodus ohioensis,Petalodus,ohioensis,4
Petalodus sp.,Petalodus,,4
Petalorhynchus sp.,Petalorhynchus,,4
Polyacrodus cloacinus,Polyacrodus,cloacinus,4
Polyacrodus contrarius,Polyacrodus,contrarius,4
Polyacrodus holwellensis,Polyacrodus,holwellensis,4
Polyacrodus lapalomensis,Polyacrodus,lapalomensis,4
Polyacrodus ritchiei,Polyacrodus,ritchiei,4
Polyacrodus sp.,Polyacrodus,,4
Polyacrodus wichitaensis,Polyacrodus,wichitaensis,4
Polyacrodus zideki,Polyacrodus,zideki,4
Promexyele peyeri,Promexyele,peyeri,3
Pseudocetorhinus pickfordi,Pseudocetorhinus,pickfordi,2
Pseudodalatias barnstonensis,Pseudodalatias,barnstonensis,2
Reesodus underwoodi,Reesodus,underwoodi,4
Reifia minuta,Reifia,minuta,1
Rhomphaiodon nicolensis,Rhomphaiodon,nicolensis,3
Rhomphaiodon minor,Rhomphaiodon,minor,3
Romerodus orodontus,Romerodus,orodontus,4
Sarcoprion edax,Sarcoprion,edax,2
Serratodus sp.,Serratodus,,4
Sibyrhynchus denisoni,Sibyrhynchus,denisoni,5
Steinbachodus estheriae,Steinbachodus,estheriae,1
Stethacanthulus longipeniculus,Stethacanthulus,longipeniculus,3
Stethacanthulus meccaensis,Stethacanthulus,meccaensis,3
Symmorium reniforme,Symmorium,reniforme,3
Symmorium sp.,Symmorium,,3
Synechodus antiquus,Synechodus,antiquus,3
Synechodus egertoni,Synechodus,egertoni,1
Synechodus enniskilleni,Synechodus,enniskilleni,3
Synechodus occultidens,Synechodus,occultidens,2
Synechodus paludinensis,Synechodus,paludinensis,3
Synechodus pinnai,Synechodus,pinnai,2
Synechodus rhaeticus,Synechodus,rhaeticus,3
Synechodus sp.,Synechodus,,2
Synechodus streitzi,Synechodus,streitzi,3
Teresodus amplexus,Teresodus,amplexus,4
Texasodus varidentatus,Texasodus,varidentatus,1
Toarcibatis alticarinata,Toarcibatis,alticarinata,4
Toarcibatis brevicristata,Toarcibatis,brevicristata,4
Toarcibatis elongata,Toarcibatis,elongata,4
Toarcibatis multicristata,Toarcibatis,multicristata,4
Vallisia coppi,Vallisia,coppi,1
Wapitiodus aplopagus,Wapitiodus,aplopagus,4
Wapitiodus homalorhizo,Wapitiodus,homalorhizo,4
Welcommia terencei,Welcommia,terencei,2
